age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference,total_monthly_spend
56,221111,6.5,12,0.7,1,6,16,16,28551,144092,2,3,2,6,7,7,1,3,6,5,2,Other,Tier 3,Store,172643
69,96029,8.2,13,2.7,6,9,14,1,124056,28421,4,7,4,1,3,4,9,6,8,1,7,Male,Tier 3,Hybrid,152477
46,19055,6.4,4,2.1,10,8,2,0,81939,128229,9,4,5,3,4,10,1,1,3,3,3,Female,Tier 3,Store,210168
32,53170,6.4,11,0.7,2,10,20,3,35901,134650,7,0,3,3,10,2,4,8,2,6,6,Female,Tier 1,Store,170551
60,244016,6.0,5,0.7,2,5,18,16,131971,34122,5,9,2,4,2,5,8,9,7,1,6,Male,Tier 3,Store,166093
25,114976,7.6,6,4.0,1,7,31,6,92423,123383,2,8,3,5,10,6,6,3,4,4,8,Other,Tier 2,Store,215806
78,43251,4.9,6,3.2,1,8,10,4,26398,18035,9,5,5,5,2,8,9,4,9,9,8,Other,Tier 2,Hybrid,44433
38,150604,3.1,10,3.7,4,9,17,7,131561,33308,2,1,2,10,10,8,8,9,6,1,4,Other,Tier 2,Store,164869
56,150996,7.3,2,1.1,5,3,28,0,123438,97145,7,6,4,5,2,9,8,2,6,6,4,Female,Tier 3,Store,220583
75,63037,6.8,4,2.9,4,8,2,9,74311,79808,10,0,2,2,9,6,9,1,5,1,7,Female,Tier 3,Store,154119
36,224154,8.6,12,5.4,6,3,49,3,56198,140722,9,0,7,10,10,9,9,10,8,10,5,Male,Tier 3,Store,196920
40,107115,1.1,9,2.2,8,1,3,13,40543,46725,4,8,6,9,6,3,8,2,7,2,5,Female,Tier 3,Store,87268
28,217693,5.8,7,2.6,2,4,27,8,83429,122126,9,2,7,9,3,7,10,1,7,6,5,Other,Tier 2,Store,205555
28,92926,6.2,9,2.5,1,7,8,16,81177,19617,8,7,6,4,10,6,9,3,1,5,8,Male,Tier 2,Store,100794
41,224888,3.0,6,2.4,2,9,37,13,49294,103713,7,4,3,3,1,2,10,7,5,5,1,Male,Tier 2,Store,153007
70,235726,5.8,11,1.5,10,10,6,18,73565,139218,8,1,6,6,1,1,9,10,8,4,10,Male,Tier 1,Store,212783
53,85400,8.4,7,2.6,6,7,0,1,30148,58440,4,1,7,1,1,7,5,10,5,3,1,Other,Tier 2,Store,88588
57,114525,10.2,9,4.6,4,10,34,13,98395,98336,7,4,1,4,2,7,10,5,8,7,6,Female,Tier 1,Store,196731
41,116164,8.0,14,2.4,7,5,46,8,23909,42179,3,1,5,2,10,9,1,3,5,6,8,Female,Tier 2,Store,66088
20,238457,5.4,12,4.1,2,1,33,4,68110,67109,5,2,6,9,6,7,1,10,4,9,9,Other,Tier 3,Store,135219
39,239174,8.5,4,6.0,1,1,8,14,10025,127299,2,9,1,7,10,2,7,2,8,3,1,Male,Tier 3,Store,137324
70,156774,7.8,9,1.4,5,9,25,5,38287,3848,8,8,5,9,9,4,7,10,6,9,2,Other,Tier 3,Online,42135
19,121732,5.0,3,3.2,9,4,7,15,46394,22500,2,5,7,7,1,5,10,4,1,6,2,Female,Tier 2,Store,68894
41,30385,4.8,14,1.0,6,3,18,10,119035,18547,7,8,1,2,10,8,2,4,6,4,3,Other,Tier 2,Store,137582
61,24336,5.7,12,2.3,6,5,25,8,44546,41489,8,6,2,2,10,6,4,2,2,3,8,Female,Tier 1,Store,86035
47,80421,3.9,14,5.7,1,7,45,11,10716,25969,6,0,2,8,4,6,4,10,8,2,3,Male,Tier 2,Store,36685
55,177297,5.4,11,3.3,1,7,9,7,132880,135540,4,1,4,9,5,6,1,10,3,4,8,Other,Tier 1,Store,268420
19,51021,7.0,12,2.9,4,5,42,16,66778,89620,4,8,2,6,10,6,7,3,1,8,6,Male,Tier 3,Store,156398
77,149854,8.1,14,1.0,2,8,29,11,31420,31294,6,2,6,3,6,4,1,8,9,6,4,Female,Tier 2,Store,62714
38,234949,5.2,8,1.7,3,5,39,0,65173,45371,8,7,2,9,10,9,5,2,7,9,6,Other,Tier 3,Store,110544
50,132369,8.8,3,1.4,6,10,35,7,10737,31314,9,6,6,7,1,9,4,4,6,8,9,Male,Tier 1,Online,42051
29,235702,7.3,3,1.2,10,4,30,0,13603,52812,6,5,1,1,3,6,7,4,10,2,3,Female,Tier 1,Store,66415
75,64111,7.4,3,3.6,1,6,7,12,48524,1669,3,9,5,9,10,9,1,8,9,2,2,Female,Tier 1,Online,50193
39,104402,4.2,9,3.4,10,3,41,4,112987,126335,10,7,7,2,2,2,10,5,7,10,5,Female,Tier 2,Store,239322
78,134774,9.6,10,2.3,2,4,46,19,82204,119167,4,7,2,5,4,9,10,10,3,8,6,Male,Tier 2,Store,201371
61,230657,7.1,14,1.8,4,8,12,4,35393,74710,5,9,2,7,5,10,5,10,5,7,7,Other,Tier 2,Store,110103
42,57719,5.3,3,3.4,6,10,36,7,30975,72627,3,7,3,10,8,8,2,1,3,6,7,Female,Tier 1,Store,103602
66,242600,5.0,6,4.7,3,10,29,10,108742,123073,5,0,1,3,9,9,6,2,6,10,3,Female,Tier 3,Store,231815
44,195109,5.4,11,3.8,9,3,14,19,129743,128262,8,6,2,9,7,3,7,10,3,10,4,Female,Tier 2,Store,258005
76,226175,4.0,14,2.6,10,10,34,7,7720,121589,4,7,7,3,6,10,5,9,7,5,6,Female,Tier 2,Store,129309
59,140695,8.0,4,3.7,4,3,2,9,134176,148247,7,1,6,2,9,3,8,9,5,2,2,Other,Tier 1,Store,282423
45,149585,4.2,14,3.8,7,6,28,4,28170,36288,1,3,6,10,8,10,10,7,7,4,8,Male,Tier 1,Store,64458
77,159407,6.6,2,2.7,5,8,23,19,73135,125311,7,5,6,3,7,8,10,7,5,1,10,Other,Tier 3,Store,198446
33,190212,5.1,12,2.7,6,10,44,2,9795,144291,1,3,2,10,7,5,9,9,3,1,6,Male,Tier 1,Store,154086
32,119126,7.3,12,1.8,9,2,22,4,68655,62518,2,1,4,6,9,7,6,7,5,5,9,Female,Tier 2,Store,131173
79,226445,7.6,3,3.6,9,1,8,14,114331,37757,1,1,3,1,1,5,1,2,1,8,5,Other,Tier 1,Store,152088
79,92658,4.7,5,2.3,6,10,1,13,13016,22135,3,1,5,4,7,8,7,7,1,6,5,Other,Tier 3,Store,35151
64,180912,5.9,10,1.2,2,1,14,4,31116,55921,8,1,1,4,6,10,1,4,2,3,8,Other,Tier 3,Store,87037
79,46007,3.1,4,1.3,9,7,31,1,126467,56756,8,6,5,5,2,10,2,7,1,1,7,Female,Tier 1,Store,183223
68,203019,9.4,5,2.4,2,2,17,6,126412,15024,7,8,2,10,7,10,3,6,7,3,7,Female,Tier 2,Hybrid,141436
61,121833,8.1,13,1.3,2,9,28,6,139574,106040,7,9,7,2,2,8,7,9,2,8,6,Male,Tier 2,Store,245614
72,133637,3.2,12,6.0,2,10,39,13,74782,66488,5,8,4,1,2,1,1,4,4,1,7,Other,Tier 1,Store,141270
69,135721,4.3,11,3.1,7,4,2,14,108383,117518,10,5,3,9,9,6,6,4,5,8,7,Female,Tier 1,Store,225901
74,108220,5.7,1,1.9,4,7,32,16,45068,102512,9,9,1,2,3,4,4,6,3,2,7,Other,Tier 1,Store,147580
20,41393,6.1,4,2.7,8,5,6,8,5913,42042,1,2,3,8,9,1,4,10,5,5,3,Other,Tier 1,Store,47955
54,72480,4.6,11,3.5,8,5,29,3,52392,93220,4,6,3,3,6,8,3,10,10,7,1,Other,Tier 1,Store,145612
68,132243,3.7,10,2.8,1,7,26,15,133331,123696,6,7,3,8,4,5,7,9,2,7,1,Male,Tier 2,Store,257027
24,103290,6.8,3,1.3,1,9,37,13,33872,73035,4,8,5,2,7,1,5,5,7,1,6,Other,Tier 2,Store,106907
38,232407,9.5,13,2.4,4,4,28,0,52668,123722,2,3,3,3,7,2,8,6,9,5,8,Male,Tier 3,Store,176390
26,119263,6.1,2,2.2,2,9,30,1,23421,955,2,4,6,4,4,7,8,2,5,5,8,Other,Tier 3,Online,24376
56,155179,5.4,7,1.9,3,9,0,12,52138,79761,2,0,2,10,3,10,1,7,9,3,4,Female,Tier 2,Store,131899
35,20993,5.2,10,1.4,10,8,40,7,24961,12163,7,4,7,10,4,9,5,4,7,2,2,Male,Tier 1,Online,37124
21,242413,3.8,9,3.6,2,1,42,8,112610,37711,5,9,6,9,6,6,4,3,4,4,10,Female,Tier 1,Store,150321
42,108650,4.7,1,3.1,10,10,26,9,103258,140980,2,6,2,3,7,10,6,1,5,3,9,Other,Tier 2,Store,244238
77,249397,8.3,12,3.1,9,9,26,19,10552,143281,9,1,6,4,4,4,7,1,7,10,1,Female,Tier 3,Store,153833
31,132595,1.9,7,0.1,6,3,28,9,70970,20249,2,4,2,4,8,3,5,6,6,2,10,Male,Tier 1,Store,91219
67,67066,6.1,11,2.0,7,8,4,15,131931,84210,7,8,6,10,4,1,5,2,6,1,9,Female,Tier 2,Store,216141
75,126850,6.1,12,4.1,6,5,2,8,63618,6736,1,2,7,3,10,4,9,9,8,4,4,Male,Tier 1,Store,70354
26,57942,6.2,1,3.0,1,6,28,5,42865,74798,6,1,4,9,6,3,8,9,4,4,4,Male,Tier 3,Store,117663
43,31138,7.5,5,1.0,5,3,40,11,20700,93830,6,4,4,10,5,3,8,3,8,3,5,Other,Tier 2,Store,114530
70,133558,6.1,1,4.7,3,7,38,16,112780,45820,5,8,3,4,1,2,5,9,5,3,10,Other,Tier 1,Store,158600
19,190599,5.1,3,0.0,10,2,12,9,45262,75090,7,9,6,8,7,10,1,8,3,9,6,Male,Tier 3,Store,120352
37,24190,4.7,8,2.7,8,3,32,10,95314,64682,10,3,1,5,3,2,10,10,7,1,6,Female,Tier 3,Store,159996
45,107259,8.6,13,4.7,7,2,19,8,121443,2632,8,0,4,6,9,3,8,8,3,10,7,Female,Tier 3,Online,124075
64,93422,8.1,4,0.5,9,9,2,17,12681,73056,2,5,5,3,10,7,2,7,1,10,10,Other,Tier 3,Store,85737
77,201770,11.8,12,1.9,1,3,5,2,14174,80428,3,8,7,9,6,3,3,5,7,8,2,Male,Tier 3,Store,94602
24,97315,5.4,1,0.7,2,8,42,4,81080,1415,8,3,2,4,5,1,3,4,4,7,1,Male,Tier 2,Online,82495
61,239782,4.7,1,4.3,2,6,16,4,40995,33647,5,8,3,6,6,5,3,5,3,9,7,Male,Tier 3,Store,74642
78,44086,6.9,8,1.4,1,1,46,4,85145,53410,6,6,5,6,7,8,5,9,4,10,5,Other,Tier 2,Store,138555
25,163394,6.9,14,3.8,8,6,3,10,115514,107200,4,0,5,8,5,8,8,4,4,4,6,Male,Tier 1,Store,222714
64,140604,7.3,8,4.3,4,8,32,3,25654,113813,1,5,1,10,5,5,1,9,6,2,5,Other,Tier 3,Store,139467
52,115814,7.7,4,0.8,7,10,32,4,46668,53060,8,1,6,8,4,8,8,9,6,10,8,Female,Tier 2,Store,99728
31,134324,7.3,4,0.6,10,3,5,18,53741,92824,4,7,6,6,4,4,6,10,3,2,3,Female,Tier 2,Store,146565
34,229641,8.2,10,3.1,1,7,40,10,127570,40905,9,6,7,1,3,3,10,6,6,8,1,Male,Tier 2,Store,168475
53,231682,8.4,11,3.5,8,6,13,11,6497,6128,2,6,2,8,8,2,1,5,1,5,1,Male,Tier 3,Online,12625
67,143921,8.5,2,2.4,8,1,45,16,98084,69949,8,3,7,7,6,6,8,2,3,5,2,Female,Tier 3,Store,168033
57,18435,1.5,2,2.5,10,2,6,14,42909,146654,9,0,2,5,7,8,6,4,10,2,2,Female,Tier 2,Store,189563
