age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference,total_monthly_spend,age_group,income_group,spend_segment
56,221111,6.5,12,0.7,1,6,16,16,28551,144092,2,3,2,6,7,7,1,3,6,5,2,Other,Tier 3,Store,172643,46-60,Ultra High,Standard
69,96029,8.2,13,2.7,6,9,14,1,124056,28421,4,7,4,1,3,4,9,6,8,1,7,Male,Tier 3,Hybrid,152477,60+,Medium,Standard
46,19055,6.4,4,2.1,10,8,2,0,81939,128229,9,4,5,3,4,10,1,1,3,3,3,Female,Tier 3,Store,210168,46-60,Low,Premium
32,53170,6.4,11,0.7,2,10,20,3,35901,134650,7,0,3,3,10,2,4,8,2,6,6,Female,Tier 1,Store,170551,31-45,Low,Standard
60,244016,6.0,5,0.7,2,5,18,16,131971,34122,5,9,2,4,2,5,8,9,7,1,6,Male,Tier 3,Store,166093,46-60,Ultra High,Standard
25,114976,7.6,6,4.0,1,7,31,6,92423,123383,2,8,3,5,10,6,6,3,4,4,8,Other,Tier 2,Store,215806,18-30,Medium,Premium
78,43251,4.9,6,3.2,1,8,10,4,26398,18035,9,5,5,5,2,8,9,4,9,9,8,Other,Tier 2,Hybrid,44433,60+,Low,Value
38,150604,3.1,10,3.7,4,9,17,7,131561,33308,2,1,2,10,10,8,8,9,6,1,4,Other,Tier 2,Store,164869,31-45,High,Standard
56,150996,7.3,2,1.1,5,3,28,0,123438,97145,7,6,4,5,2,9,8,2,6,6,4,Female,Tier 3,Store,220583,46-60,High,Premium
75,63037,6.8,4,2.9,4,8,2,9,74311,79808,10,0,2,2,9,6,9,1,5,1,7,Female,Tier 3,Store,154119,60+,Low,Standard
36,224154,8.6,12,5.4,6,3,49,3,56198,140722,9,0,7,10,10,9,9,10,8,10,5,Male,Tier 3,Store,196920,31-45,Ultra High,Premium
40,107115,1.1,9,2.2,8,1,3,13,40543,46725,4,8,6,9,6,3,8,2,7,2,5,Female,Tier 3,Store,87268,31-45,Medium,Value
28,217693,5.8,7,2.6,2,4,27,8,83429,122126,9,2,7,9,3,7,10,1,7,6,5,Other,Tier 2,Store,205555,18-30,Ultra High,Premium
28,92926,6.2,9,2.5,1,7,8,16,81177,19617,8,7,6,4,10,6,9,3,1,5,8,Male,Tier 2,Store,100794,18-30,Medium,Value
41,224888,3.0,6,2.4,2,9,37,13,49294,103713,7,4,3,3,1,2,10,7,5,5,1,Male,Tier 2,Store,153007,31-45,Ultra High,Standard
70,235726,5.8,11,1.5,10,10,6,18,73565,139218,8,1,6,6,1,1,9,10,8,4,10,Male,Tier 1,Store,212783,60+,Ultra High,Premium
53,85400,8.4,7,2.6,6,7,0,1,30148,58440,4,1,7,1,1,7,5,10,5,3,1,Other,Tier 2,Store,88588,46-60,Medium,Value
57,114525,10.2,9,4.6,4,10,34,13,98395,98336,7,4,1,4,2,7,10,5,8,7,6,Female,Tier 1,Store,196731,46-60,Medium,Premium
41,116164,8.0,14,2.4,7,5,46,8,23909,42179,3,1,5,2,10,9,1,3,5,6,8,Female,Tier 2,Store,66088,31-45,Medium,Value
20,238457,5.4,12,4.1,2,1,33,4,68110,67109,5,2,6,9,6,7,1,10,4,9,9,Other,Tier 3,Store,135219,18-30,Ultra High,Standard
39,239174,8.5,4,6.0,1,1,8,14,10025,127299,2,9,1,7,10,2,7,2,8,3,1,Male,Tier 3,Store,137324,31-45,Ultra High,Standard
70,156774,7.8,9,1.4,5,9,25,5,38287,3848,8,8,5,9,9,4,7,10,6,9,2,Other,Tier 3,Online,42135,60+,High,Value
19,121732,5.0,3,3.2,9,4,7,15,46394,22500,2,5,7,7,1,5,10,4,1,6,2,Female,Tier 2,Store,68894,18-30,Medium,Value
41,30385,4.8,14,1.0,6,3,18,10,119035,18547,7,8,1,2,10,8,2,4,6,4,3,Other,Tier 2,Store,137582,31-45,Low,Standard
61,24336,5.7,12,2.3,6,5,25,8,44546,41489,8,6,2,2,10,6,4,2,2,3,8,Female,Tier 1,Store,86035,60+,Low,Value
47,80421,3.9,14,5.7,1,7,45,11,10716,25969,6,0,2,8,4,6,4,10,8,2,3,Male,Tier 2,Store,36685,46-60,Medium,Value
55,177297,5.4,11,3.3,1,7,9,7,132880,135540,4,1,4,9,5,6,1,10,3,4,8,Other,Tier 1,Store,268420,46-60,High,Premium
19,51021,7.0,12,2.9,4,5,42,16,66778,89620,4,8,2,6,10,6,7,3,1,8,6,Male,Tier 3,Store,156398,18-30,Low,Standard
77,149854,8.1,14,1.0,2,8,29,11,31420,31294,6,2,6,3,6,4,1,8,9,6,4,Female,Tier 2,Store,62714,60+,High,Value
38,234949,5.2,8,1.7,3,5,39,0,65173,45371,8,7,2,9,10,9,5,2,7,9,6,Other,Tier 3,Store,110544,31-45,Ultra High,Value
50,132369,8.8,3,1.4,6,10,35,7,10737,31314,9,6,6,7,1,9,4,4,6,8,9,Male,Tier 1,Online,42051,46-60,High,Value
29,235702,7.3,3,1.2,10,4,30,0,13603,52812,6,5,1,1,3,6,7,4,10,2,3,Female,Tier 1,Store,66415,18-30,Ultra High,Value
75,64111,7.4,3,3.6,1,6,7,12,48524,1669,3,9,5,9,10,9,1,8,9,2,2,Female,Tier 1,Online,50193,60+,Low,Value
39,104402,4.2,9,3.4,10,3,41,4,112987,126335,10,7,7,2,2,2,10,5,7,10,5,Female,Tier 2,Store,239322,31-45,Medium,Premium
78,134774,9.6,10,2.3,2,4,46,19,82204,119167,4,7,2,5,4,9,10,10,3,8,6,Male,Tier 2,Store,201371,60+,High,Premium
61,230657,7.1,14,1.8,4,8,12,4,35393,74710,5,9,2,7,5,10,5,10,5,7,7,Other,Tier 2,Store,110103,60+,Ultra High,Value
42,57719,5.3,3,3.4,6,10,36,7,30975,72627,3,7,3,10,8,8,2,1,3,6,7,Female,Tier 1,Store,103602,31-45,Low,Value
66,242600,5.0,6,4.7,3,10,29,10,108742,123073,5,0,1,3,9,9,6,2,6,10,3,Female,Tier 3,Store,231815,60+,Ultra High,Premium
44,195109,5.4,11,3.8,9,3,14,19,129743,128262,8,6,2,9,7,3,7,10,3,10,4,Female,Tier 2,Store,258005,31-45,Ultra High,Premium
76,226175,4.0,14,2.6,10,10,34,7,7720,121589,4,7,7,3,6,10,5,9,7,5,6,Female,Tier 2,Store,129309,60+,Ultra High,Standard
59,140695,8.0,4,3.7,4,3,2,9,134176,148247,7,1,6,2,9,3,8,9,5,2,2,Other,Tier 1,Store,282423,46-60,High,Premium
45,149585,4.2,14,3.8,7,6,28,4,28170,36288,1,3,6,10,8,10,10,7,7,4,8,Male,Tier 1,Store,64458,31-45,High,Value
77,159407,6.6,2,2.7,5,8,23,19,73135,125311,7,5,6,3,7,8,10,7,5,1,10,Other,Tier 3,Store,198446,60+,High,Premium
33,190212,5.1,12,2.7,6,10,44,2,9795,144291,1,3,2,10,7,5,9,9,3,1,6,Male,Tier 1,Store,154086,31-45,High,Standard
32,119126,7.3,12,1.8,9,2,22,4,68655,62518,2,1,4,6,9,7,6,7,5,5,9,Female,Tier 2,Store,131173,31-45,Medium,Standard
79,226445,7.6,3,3.6,9,1,8,14,114331,37757,1,1,3,1,1,5,1,2,1,8,5,Other,Tier 1,Store,152088,60+,Ultra High,Standard
